COD_VICIDIAL;Calif_1;Calif_2;Calif_3;concatenado;Estado;Peso
2C21AR;Conecta - efectivo - Cliente;No venta;DPA Actividad alto riesgo;Conecta - efectivo - ClienteNo ventaDPA Actividad alto riesgo;;58
2C22UA;Conecta - efectivo - Cliente;No venta;Uniformado Activo;Conecta - efectivo - ClienteNo ventaUniformado Activo;;56
2C23EP;Conecta - efectivo - Cliente;No venta;Enfermedad Preexistente;Conecta - efectivo - ClienteNo ventaEnfermedad Preexistente;;54
2C24YN;Conecta - efectivo - Cliente;No venta;Ya no es cliente;Conecta - efectivo - ClienteNo ventaYa no es cliente;;52
2C25OT;Conecta - efectivo - Cliente;No venta;Otros (Registrar);Conecta - efectivo - ClienteNo ventaOtros (Registrar);;50
3N14NC;Conecta - efectivo - Cliente;No venta;No cumple requisito asegurabilidad ;Conecta - efectivo - ClienteNo ventaNo cumple requisito asegurabilidad ;;49
2C38CP;Conecta - efectivo - Cliente;No venta;Consulta de poliza vigente;Conecta - efectivo - ClienteNo ventaConsulta de poliza vigente;;90
2C39RP;Conecta - efectivo - Cliente;No venta;Renuncia de poliza;Conecta - efectivo - ClienteNo ventaRenuncia de poliza;;45
2C40OS;Conecta - efectivo - Cliente;No venta;Necesita otro seguro;Conecta - efectivo - ClienteNo ventaNecesita otro seguro;;46
2C41NL;Conecta - efectivo - Cliente;No venta;No le llego póliza de otros seguros;Conecta - efectivo - ClienteNo ventaNo le llego póliza de otros seguros;;90
2C42NT;Conecta - efectivo - Cliente;No venta;No cuenta con TC;Conecta - efectivo - ClienteNo ventaNo cuenta con TC;;49
2C5YT;Conecta - efectivo - Cliente;No venta;Ya tiene Seguro;Conecta - efectivo - ClienteNo ventaYa tiene Seguro;;53
2E15TS;Conecta - efectivo - Cliente;No venta;Ya tiene Seguro;Conecta - efectivo - ClienteNo ventaYa tiene Seguro;;53
2C67OT;Conecta - efectivo - Cliente;No venta;Otros (Registrar);Conecta - efectivo - ClienteNo ventaOtros (Registrar);;50
2C64DC;Conecta - Efectivo - Cliente;No Venta;Derivación CRI;Conecta - Efectivo - ClienteNo VentaDerivación CRI;;95
2E25OT;Conecta - efectivo - Cliente;No venta;Otros (Registrar);Conecta - efectivo - ClienteNo ventaOtros (Registrar);;50
2C65AC;Conecta - efectivo - Cliente;No venta;Alto Costo;Conecta - efectivo - ClienteNo ventaAlto Costo;;67
2C64DR;Conecta - efectivo - Cliente;No venta;DPS Rechazada;Conecta - efectivo - ClienteNo ventaDPS Rechazada;Terminado;69
3N6TN;Conecta - No efectivo - Tercero;Teléfono no corresponde a Titular;;Conecta - No efectivo - TerceroTeléfono no corresponde a Titular;;30
2C66SE;Conecta - efectivo - Cliente;No venta;Supera Edad de Contratacion;Conecta - efectivo - ClienteNo ventaSupera Edad de Contratacion;Terminado;65
CSNCC;Conecta - No efectivo - Tercero;Cliente sin cuenta corriente Bci;;Conecta - No efectivo - TerceroCliente sin cuenta corriente Bci;;45
3XCORT;Conecta- Comunica con Tercero;No Valido;Se Corta la llamada con cliente;Conecta- Comunica con TerceroNo ValidoSe Corta la llamada con cliente;;41
2C67MC;Conecta - efectivo - Cliente;No venta;Solicita Mayor Cobertura;Conecta - efectivo - ClienteNo ventaSolicita Mayor Cobertura;Terminado;63
NCCDS;Conecta - efectivo - Cliente;No venta;No Cumple Condiciones de Seguridad;Conecta - efectivo - ClienteNo ventaNo Cumple Condiciones de Seguridad;Terminado;49
NCCMC;Conecta - efectivo - Cliente;No venta;No Cumple Condiciones Material Construccion;Conecta - efectivo - ClienteNo ventaNo Cumple Condiciones Material Construccion;Terminado;47
AFTHRS;No conecta;Fuera Horario;;No conectaFuera Horario;;12
DROP;No conecta;No contesta;;No conectaNo contesta;;18
2C36PV;Conecta - efectivo - Cliente;No venta ;Cliente Póliza Vigente BCI;Conecta - efectivo - ClienteNo venta Cliente Póliza Vigente BCI;;90
3N11NL;Conecta - efectivo - Cliente;No venta ;Dirección no geo localizable;Conecta - efectivo - ClienteNo venta Dirección no geo localizable;;20
